layers;activation;solver;lr;epochs;acc;f1
(50, 100);logistic;adam;0.1;500;9.95;9.95
(50, 100);logistic;adam;0.1;1000;9.95;9.95
(50, 100);logistic;adam;0.2;200;9.95;9.95
(50, 100);logistic;adam;0.2;300;6.42;7.55
(50, 100);logistic;adam;0.2;500;9.95;9.95
(50, 100);logistic;adam;0.2;1000;9.93;9.93
(50, 100);logistic;sgd;0.001;200;4.31;5.21
(50, 100);logistic;sgd;0.001;300;6.67;7.75
(50, 100);logistic;sgd;0.001;500;3.15;4.78
(50, 100);logistic;sgd;0.001;1000;3.15;4.78
(50, 100);logistic;sgd;0.01;200;9.93;9.93
(50, 100);logistic;sgd;0.01;300;9.95;9.95
(50, 100);logistic;sgd;0.01;500;9.95;9.95
(50, 100);logistic;sgd;0.01;1000;9.95;9.95
(50, 100);logistic;sgd;0.1;200;9.93;9.93
(50, 100);logistic;sgd;0.1;300;9.93;9.93
(50, 100);logistic;sgd;0.1;500;9.93;9.93
(50, 100);logistic;sgd;0.1;1000;9.93;9.93
(50, 100);logistic;sgd;0.2;200;9.93;9.93
(50, 100);logistic;sgd;0.2;300;9.93;9.93
(50, 100);logistic;sgd;0.2;500;9.93;9.93
(50, 100);logistic;sgd;0.2;1000;9.93;9.93
(50, 100);tanh;lbfgs;0.001;200;9.91;9.91
(50, 100);tanh;lbfgs;0.001;300;9.91;9.91
(50, 100);tanh;lbfgs;0.001;500;9.91;9.91
(50, 100);tanh;lbfgs;0.001;1000;9.93;9.93
(50, 100);tanh;lbfgs;0.01;200;9.93;9.93
(50, 100);tanh;lbfgs;0.01;300;9.91;9.91
(50, 100);tanh;lbfgs;0.01;500;9.93;9.93
(50, 100);tanh;lbfgs;0.01;1000;9.91;9.91
(50, 100);tanh;lbfgs;0.1;200;9.93;9.93
(50, 100);tanh;lbfgs;0.1;300;9.93;9.93
(50, 100);tanh;lbfgs;0.1;500;9.91;9.91
(50, 100);tanh;lbfgs;0.1;1000;9.93;9.93
(50, 100);tanh;lbfgs;0.2;200;9.93;9.93
(50, 100);tanh;lbfgs;0.2;300;9.93;9.93
(50, 100);tanh;lbfgs;0.2;500;9.91;9.91
(50, 100);tanh;lbfgs;0.2;1000;9.91;9.91
(50, 100);tanh;adam;0.001;200;9.93;9.93
(50, 100);tanh;adam;0.001;300;9.93;9.93
(50, 100);tanh;adam;0.001;500;9.93;9.93
(50, 100);tanh;adam;0.001;1000;9.93;9.93
(50, 100);tanh;adam;0.01;200;9.93;9.93
(50, 100);tanh;adam;0.01;300;9.95;9.95
(50, 100);tanh;adam;0.01;500;9.93;9.93
(50, 100);tanh;adam;0.01;1000;9.95;9.95
(50, 100);tanh;adam;0.1;200;9.95;9.95
(50, 100);tanh;adam;0.1;300;9.93;9.93
(50, 100);tanh;adam;0.1;500;9.95;9.95
(50, 100);tanh;adam;0.1;1000;9.95;9.95
(50, 100);tanh;adam;0.2;200;9.93;9.93
(50, 100);tanh;adam;0.2;300;9.95;9.95
(50, 100);tanh;adam;0.2;500;9.93;9.93
(50, 100);tanh;adam;0.2;1000;9.95;9.95
(50, 100);tanh;sgd;0.001;200;9.93;9.93
(50, 100);tanh;sgd;0.001;300;9.93;9.93
(50, 100);tanh;sgd;0.001;500;9.95;9.95
(50, 100);tanh;sgd;0.001;1000;9.95;9.95
(50, 100);tanh;sgd;0.01;200;9.93;9.93
(50, 100);tanh;sgd;0.01;300;9.93;9.93
(50, 100);tanh;sgd;0.01;500;9.93;9.93
(50, 100);tanh;sgd;0.01;1000;9.93;9.93
(50, 100);tanh;sgd;0.1;200;9.93;9.93
